CMDLINE python3 python_programs/ChatGPT/smallest_range_covering_elements_from_k_lists.py
MEM 0.218750 1745203297.3899
MEM 12.234375 1745203297.4111
MEM 12.234375 1745203297.4232
MEM 12.234375 1745203297.4423
MEM 12.234375 1745203297.4625
MEM 12.234375 1745203297.4801
MEM 12.234375 1745203297.5028
MEM 12.234375 1745203297.6051
MEM 12.234375 1745203297.6320
MEM 12.234375 1745203297.6576
MEM 12.234375 1745203297.6829
MEM 12.234375 1745203297.7078
MEM 12.234375 1745203297.7330
MEM 12.234375 1745203297.7587
MEM 12.234375 1745203297.7840
MEM 12.234375 1745203297.8093
MEM 12.234375 1745203297.8351
MEM 12.234375 1745203297.8619
MEM 12.234375 1745203297.8883
MEM 12.234375 1745203297.9137
MEM 12.234375 1745203297.9393
MEM 12.234375 1745203297.9651
MEM 12.234375 1745203297.9917
MEM 12.234375 1745203298.0172
MEM 12.234375 1745203298.0452
MEM 12.234375 1745203298.0706
MEM 12.234375 1745203298.0965
MEM 12.234375 1745203298.1226
MEM 12.234375 1745203298.1482
MEM 12.234375 1745203298.1749
MEM 12.234375 1745203298.2007
MEM 12.234375 1745203298.2276
MEM 12.234375 1745203298.2540
MEM 12.234375 1745203298.2779
MEM 12.234375 1745203298.3032
MEM 12.234375 1745203298.3288
MEM 12.234375 1745203298.3545
MEM 12.234375 1745203298.3802
MEM 12.234375 1745203298.4069
MEM 12.234375 1745203298.4324
MEM 12.234375 1745203298.4587
MEM 12.234375 1745203298.4842
MEM 12.234375 1745203298.5092
MEM 12.234375 1745203298.5342
MEM 12.234375 1745203298.5596
MEM 12.234375 1745203298.5865
MEM 12.234375 1745203298.6130
MEM 12.234375 1745203298.6387
MEM 12.234375 1745203298.6635
MEM 12.234375 1745203298.6890
MEM 12.234375 1745203298.7149
MEM 12.234375 1745203298.7413
MEM 12.234375 1745203298.7674
MEM 12.234375 1745203298.7935
MEM 12.234375 1745203298.8195
MEM 12.234375 1745203298.8452
MEM 12.234375 1745203298.8712
MEM 12.234375 1745203298.8971
MEM 12.234375 1745203298.9221
MEM 12.234375 1745203298.9477
MEM 12.234375 1745203298.9751
MEM 12.234375 1745203299.0025
MEM 12.234375 1745203299.0248
MEM 12.234375 1745203299.0478
MEM 12.234375 1745203299.0717
MEM 12.234375 1745203299.0936
MEM 12.234375 1745203299.1158
MEM 12.234375 1745203299.1377
MEM 12.234375 1745203299.1602
MEM 12.234375 1745203299.1816
MEM 12.234375 1745203299.2033
MEM 12.234375 1745203299.2251
MEM 12.234375 1745203299.2447
MEM 12.234375 1745203299.2643
MEM 12.234375 1745203299.2834
MEM 12.234375 1745203299.3018
MEM 12.234375 1745203299.3197
MEM 12.234375 1745203299.3377
MEM 12.234375 1745203299.3559
MEM 12.234375 1745203299.3738
MEM 12.234375 1745203299.3917
MEM 12.234375 1745203299.4095
MEM 12.234375 1745203299.4274
MEM 12.234375 1745203299.4449
MEM 12.234375 1745203299.4625
MEM 12.234375 1745203299.4801
MEM 12.234375 1745203299.4982
MEM 12.234375 1745203299.5160
MEM 12.234375 1745203299.5361
MEM 12.234375 1745203299.5546
MEM 12.234375 1745203299.5721
MEM 12.234375 1745203299.5897
MEM 12.234375 1745203299.6075
MEM 12.234375 1745203299.6255
MEM 12.234375 1745203299.6434
MEM 12.234375 1745203299.6625
MEM 12.234375 1745203299.6810
MEM 12.234375 1745203299.6993
MEM 12.234375 1745203299.7175
MEM 12.234375 1745203299.7353
MEM 12.234375 1745203299.7531
MEM 12.234375 1745203299.7712
MEM 12.234375 1745203299.7892
MEM 12.234375 1745203299.8084
MEM 12.234375 1745203299.8267
MEM 12.234375 1745203299.8447
MEM 12.234375 1745203299.8626
MEM 12.234375 1745203299.8814
MEM 12.234375 1745203299.8997
MEM 12.234375 1745203299.9193
MEM 12.234375 1745203299.9379
MEM 12.234375 1745203299.9558
MEM 12.234375 1745203299.9736
MEM 12.234375 1745203299.9913
MEM 12.234375 1745203300.0089
